Non-native Plant List,Non-native Animal List,,,,,Class B,Genus_species,Invasive_class,,,,,,,,,,
Phalaris arundinacea,,,,,,,Mycelis muralis,VT Flora outside NA,,,,,,,,,,
Phedimus aizoon,,,,,,,Myosotis micrantha,VT Flora outside NA,,,,,,,,,,
Phedimus spurius,,,,,,,Naias minor,VT Flora outside NA,,,,,,,,,,
Philadelphus coronarius,,,,,,,Narcissus pseudo-narcissus,VT Flora outside NA,,,,,,,,,,
Phlox bifida,,,,,,,Nardus stricta,VT Flora outside NA,,,,,,,,,,
Phragmites australis ssp. Australis,,,,,,,Nigella damascena,VT Flora outside NA,,,,,,,,,,
Pimpinella saxifraga,,,,,,,Orobanche minor,VT Flora outside NA,,,,,,,,,,
Pisum sativum,,,,,,,Paeonia lactifolia,VT Flora outside NA,,,,,,,,,,
Poa pratensis ssp. Agassizensis,,,,,,,Papaver rhoeas,VT Flora outside NA,,,,,,,,,,
Polemonium caeruleum,,,,,,,Persicaria longiseta,VT Flora outside NA,,,,,,,,,,
Populus alba,,,,,,,Petasites hybridus,VT Flora outside NA,,,,,,,,,,
Potamogeton crispus,,,,,,,Petunia x atkinsiana,VT Flora outside NA,,,,,,,,,,
Potentilla intermedia,,,,,,,Phedimus aizoon,VT Flora outside NA,,,,,,,,,,
Primula japonica,,,,,,,Phedimus spurius,VT Flora outside NA,,,,,,,,,,
Primula veris,,,,,,,Philadelphus coronarius,VT Flora outside NA,,,,,,,,,,
Prunus cerasus,,,,,,,Pimpinella saxifraga,VT Flora outside NA,,,,,,,,,,
Pulmonaria saccharata,,,,,,,Pisum sativum,VT Flora outside NA,,,,,,,,,,
Rhamnus cathartica,,,,,,,Polemonium caeruleum,VT Flora outside NA,,,,,,,,,,
Rhamnus davurica,,,,,,,Potentilla intermedia,VT Flora outside NA,,,,,,,,,,
Rhamnus frangula (syn: Frangula alnus),,,,,,,Primula japonica,VT Flora outside NA,,,,,,,,,,
Robinia pseudoacacia,,,,,,,Primula veris,VT Flora outside NA,,,,,,,,,,
Rorippa amphibia,,,,,,,Prunus cerasus,VT Flora outside NA,,,,,,,,,,
Rosa canina,,,,,,,Pulmonaria saccharata,VT Flora outside NA,,,,,,,,,,
Rosa mollis,,,,,,,Rhamnus davurica,VT Flora outside NA,,,,,,,,,,
Rosa multiflora,,,,,,,Rorippa amphibia,VT Flora outside NA,,,,,,,,,,
Rosa sherradii,,,,,,,Rosa canina,VT Flora outside NA,,,,,,,,,,
Rubus phoenicolasius,,,,,,,Rosa mollis,VT Flora outside NA,,,,,,,,,,
Rumex patientia,,,,,,,Rosa sherradii,VT Flora outside NA,,,,,,,,,,
Sagina japonica,,,,,,,Rubus phoenicolasius,VT Flora outside NA,,,,,,,,,,
Salsola collina,,,,,,,Rumex patientia,VT Flora outside NA,,,,,,,,,,
Scilla siberica,,,,,,,Sagina japonica,VT Flora outside NA,,,,,,,,,,
Sedum album,,,,,,,Salsola collina,VT Flora outside NA,,,,,,,,,,
Sempervivum tectorum,,,,,,,Scilla siberica,VT Flora outside NA,,,,,,,,,,
Senecio viscosus,,,,,,,Sedum album,VT Flora outside NA,,,,,,,,,,
Setaria faberi,,,,,,,Sempervivum tectorum,VT Flora outside NA,,,,,,,,,,
Sisymbrium loeselii,,,,,,,Senecio viscosus,VT Flora outside NA,,,,,,,,,,
Solanum lycopersicon,,,,,,,Setaria faberi,VT Flora outside NA,,,,,,,,,,
Solanum tuberosum,,,,,,,Sisymbrium loeselii,VT Flora outside NA,,,,,,,,,,
Sorbaria sorbifolia,,,,,,,Solanum lycopersicon,VT Flora outside NA,,,,,,,,,,
Spergularia salina,,,,,,,Solanum tuberosum,VT Flora outside NA,,,,,,,,,,
Symphytrichum ciliatum,,,,,,,Spergularia salina,VT Flora outside NA,,,,,,,,,,
Syringa reticulata,,,,,,,Syringa reticulata,VT Flora outside NA,,,,,,,,,,
Taraxacum palustre,,,,,,,Taraxacum palustre,VT Flora outside NA,,,,,,,,,,
Taxus cuspidata,,,,,,,Taxus cuspidata,VT Flora outside NA,,,,,,,,,,
Tilia cordata,,,,,,,Tilia cordata,VT Flora outside NA,,,,,,,,,,
Tradescantia bracteata,,,,,,,Trifolium fragiferum,VT Flora outside NA,,,,,,,,,,
Trapa natans,,,,,,,Trifolium incarnatum,VT Flora outside NA,,,,,,,,,,
Trifolium fragiferum,,,,,,,Trifolium resupinatum,VT Flora outside NA,,,,,,,,,,
Trifolium incarnatum,,,,,,,Tripleurospermum inodorum,VT Flora outside NA,,,,,,,,,,
Trifolium resupinatum,,,,,,,Ulmus pumila,VT Flora outside NA,,,,,,,,,,
Tripleurospermum inodorum,,,,,,,Verbascum lychnitis,VT Flora outside NA,,,,,,,,,,
