"species","year","cum_species"
"Carex brunnescens",1876,679
"Elymus repens",1876,679
"Muhlenbergia mexicana",1876,679
"Cephalanthus occidentalis",1876,679
"Sparganium emersum",1876,679
"Rhododendron maximum",1876,679
"Apios americana",1876,679
"Alnus alnobetula",1876,679
"Eleocharis erythropoda",1876,679
"Trillium cernuum",1876,679
"Nyssa sylvatica",1876,679
"Ageratina altissima",1876,679
"Salix sericea",1876,679
"Maianthemum canadense",1876,679
"Shepherdia canadensis",1876,679
"Trillium undulatum",1876,679
"Viola rotundifolia",1876,679
"Cardamine parviflora",1876,679
"Iris versicolor",1876,679
"Salix nigra",1876,679
"Stachys aspera",1876,679
"Corylus americana",1876,679
"Spiranthes romanzoffiana",1876,679
"Elymus virginicus",1876,679
"Platanthera aquilonis",1876,679
"Empetrum nigrum",1876,679
"Carex magellanica",1876,679
"Galearis rotundifolia",1876,679
"Agrimonia striata",1876,679
"Onychoprion fuscatus",1876,679
"Carex limosa",1876,679
"Cladium mariscoides",1876,679
"Diervilla lonicera",1876,679
"Epifagus virginiana",1876,679
"Solidago bicolor",1876,679
"Enallagma hageni",1876,679
"Lonicera oblongifolia",1876,679
"Goodyera pubescens",1876,679
"Typha latifolia",1876,679
"Solidago altissima",1876,679
"Dysphania botrys",1876,679
"Pellaea atropurpurea",1876,679
"Salix candida",1876,679
"Argentina anserina",1876,679
"Anthoxanthum nitens",1876,679
"Quercus macrocarpa",1876,679
"Cichorium intybus",1876,679
"Arethusa bulbosa",1876,679
"Atrichum undulatum",1876,679
"Salix fragilis",1876,679
"Salix lucida",1876,679
"Ulmus rubra",1876,679
"Drymocallis arguta",1876,679
"Symphoricarpos albus",1876,679
"Maianthemum racemosum",1876,679
"Nephroma arcticum",1876,679
"Plagiopus oederianus",1877,904
"Leucobryum glaucum",1877,904
"Maianthemum stellatum",1877,904
"Goodyera repens",1877,904
"Sagittaria rigida",1877,904
"Piptatheropsis pungens",1877,904
"Vaccinium cespitosum",1877,904
"Vaccinium boreale",1877,904
"Aulacomnium heterostichum",1877,904
"Aulacomnium palustre",1877,904
"Fabronia gymnostoma",1877,904
"Lindera benzoin",1877,904
"Vaccinium angustifolium",1877,904
"Dicranum scoparium",1877,904
"Dicranum polysetum",1877,904
"Rubus odoratus",1877,904
"Dicranum flagellare",1877,904
"Dermatocarpon miniatum",1877,904
"Dicranella varia",1877,904
"Agrostis mertensii",1877,904
"Dicranella heteromalla",1877,904
"Linnaea borealis",1877,904
"Rumex acetosa",1877,904
"Rumex pyrenaicus",1877,904
"Bartramia pomiformis",1877,904
"Lonicera canadensis",1877,904
"Diapensia lapponica",1877,904
"Lophocolea heterophylla",1877,904
"Plagiomnium cuspidatum",1877,904
"Cladonia squamosa",1877,904
"Plagiothecium cavifolium",1877,904
"Plagiothecium denticulatum",1877,904
"Plagiothecium laetum",1877,904
"Cladonia uncialis",1877,904
"Ceratodon purpureus",1877,904
