"species","year","cum_species"
"Rhus aromatica",1877,894
"Spiranthes lucida",1877,894
"Plagiopus oederianus",1877,894
"Silene chalcedonica",1877,894
"Bromus erectus",1877,894
"Carex montana",1877,894
"Cystopteris fragilis",1877,894
"Vaccinium myrtilloides",1877,894
"Cladonia arbuscula",1877,894
"Cirsium muticum",1877,894
"Geum aleppicum",1877,894
"Ulmus americana",1877,894
"Carex lasiocarpa",1877,894
"Thuidium delicatulum",1877,894
"Polytrichum strictum",1877,894
"Carex aquatilis",1877,894
"Phleum pratense",1877,894
"Brachythecium acuminatum",1877,894
"Leucobryum albidum",1877,894
"Vaccinium boreale",1877,894
"Aulacomnium heterostichum",1877,894
"Carex comosa",1877,894
"Asplenium trichomanes",1877,894
"Dermatocarpon miniatum",1877,894
"Mitchella repens",1877,894
"Vaccinium vitis-idaea",1877,894
"Leucobryum glaucum",1877,894
"Marrubium vulgare",1877,894
"Sporobolus compositus",1877,894
"Poa compressa",1877,894
"Osmunda spectabilis",1877,894
"Fissidens dubius",1877,894
"Castilleja pallida",1877,894
"Goodyera repens",1877,894
"Xerocomellus chrysenteron",1877,894
"Plagiothecium laetum",1877,894
"Mononeuria groenlandica",1877,894
"Carex lenticularis",1877,894
"Carex crinita",1877,894
"Melilotus albus",1877,894
"Lophocolea heterophylla",1877,894
"Anomodon attenuatus",1877,894
"Fabronia gymnostoma",1877,894
"Erigeron philadelphicus",1877,894
"Conioselinum chinense",1877,894
"Bryum caespiticium",1877,894
"Frullania grayana",1877,894
"Viburnum opulus",1877,894
"Carex granularis",1877,894
"Salix humilis",1877,894
"Cirsium arvense",1877,894
"Anomodon rugelii",1877,894
"Carex gracillima",1877,894
"Poa annua",1877,894
"Porella platyphylla",1877,894
"Brachythecium salebrosum",1877,894
"Mitella nuda",1877,894
"Buteo lineatus",1877,894
